event,info,category,eventtype,dates,time,location,price,phone,website,Trev notes
Woodinville Garden Club Tour of Gardens 2021,Self-driven tour of five private gardens in the Woodinville/Redmond area. The theme this year is “Living with Nature.” Tickets sold online and at local nurseries. ,Other,Outdoors,July 10,10 a.m.-4 p.m.,Woodinville and Redmond ,$25,,https://woodinvillegardenclub.org/tour-of-gardens/,DONE NO ?s
Whisker Me Away! MEOW Luau 2.0 — Fine Wines & Felines 2021,Virtual auction and livestream program to benefit the animals of MEOW Cat Rescue. Online auction begins Aug. 7 with livestream program and catered box meal available for delivery (limited area) or pickup at shelter in Kirkland on Aug. 14. ,Food and Drink,Virtual,Aug. 7-14,8 a.m.-8 p.m.,auction.meowcatrescue.org,"$40/meal, free/registration",,https://auction.meowcatrescue.org/,DONE NO ?s
It’s About Time Writers’ Reading Series,"Virtual multigenre reading series in partnership with Seattle Public Library featuring craft talks, new and experienced writers and three-minute open mic. Register online.",Other,Virtual,June 10-Sept. 9,6 p.m.-7:30 p.m.,us02web.zoom.us/meeting/register/tZctdeqhpjMjGNbE8tJwEcVviBnC09uWb51-,Free,,https://us02web.zoom.us/meeting/register/tZctdeqhpjMjGNbE8tJwEcVviBnC09uWb51-,DONE NO ?s
35th Annual Oldsmobile Car Show,Car show hosted by the Puget Sound Olds Club.,Other,"Outdoors, Timed entry",July 10,10 a.m.-2 p.m.,"Frances Anderson Center, 700 Main St., Edmonds","$20/car registration, free/spectators",425-485-3095 ,http://pugetsoundoldsclub.org/,DONE NO ?s
Jetty Island,"Hop on an Argosy ferryboat for a quick five-minute ferry ride to Jetty Island to enjoy the sun, play in the sand and swim in the water. Reserve a seat and pay for ferry tickets online.   ",Aquatic Activities,Outdoors,July 5-Sept. 6,10 a.m.-7:45 p.m.,"Jetty Island Ferry Launch, 10th Street and West Marine View Drive, Everett","$3/person, free/kids ages 2 or younger, parking fees vary",,https://www.visiteverett.com/1323/Your-Guide-to-Everetts-Jetty-Island,DONE NO ?s -- everettwa link redirects to hyperlink visiteverett site
"Sun, Set & Spike Grass Volleyball Tournament","Kirkland Parks and Community Services is hosting the first Sun, Set, & Spike Grass Volleyball Tournament at Lee Johnson Field at Peter Kirk Park. There will be a round robin tournament on Aug. 25 and Aug. 27. There will be a COED and Women's division. COED teams must have two men and two women to participate. This is a four on four tournament and all levels are welcome! Team managers will register their team under the division of their choice. Game times will be sent out one week before the tournament starts. The winning team from each division will win a prize! Register online or over the phone at 425-587-3336.",Exercise,Outdoors,Aug. 25-27,6:15 p.m.-9:45 p.m.,"Lee Johnson Field, 202 Third St., Kirkland ",$80/team,425-587-3336,https://secure.rec1.com/WA/city-of-kirkland/catalog,DONE NO ?s
Miles For Meso 5K Family Run/Walk,"A 5K family run/walk with proceeds going to the Mesothelioma Applied Research Foundation to support patients and their families, provide research grants and create national awareness. Mesothelioma is a cancer caused by asbestos exposure. In memory of Dick Dyhrman, Bud Hatley, Bob Stewart and other Washington residents who have died from mesothelioma. The event can be completed any time during the week of July 1-July 4th. Participants can take thier time and run/walk a course of their choosing.",Exercise,Virtual,July 1-4,Times vary,Federal Way,$25/person,,https://runsignup.com/Race/WA/FederalWay/MilesforMeso5kVirtual,DONE NO ?s
City of Redmond Summer Camps,"In-person summer camps return in 2021 for ages 3 and up. Camps are 100% outdoors and include soccer, tennis, ultimate, art, equestrian, farm and nature, and more. All camps offer smaller camp size to allow for physical distancing, and will include enhanced safety and cleaning protocols. Full and half-day options available for each of the weeklong camps.
",Other,Outdoors,June 21-Aug. 27,8 a.m.-3 p.m.,"Redmond, various locations","Prices vary, scholarships are available",,https://www.redmond.gov/1156/Summer-Camps,DONE NO ?s
Skyhawks Youth Sports Camps — Tukwila Parks and Recreation,"Skyhawks Sports Academy is offering a variety of half-day and full-day sports camp programs where children can discover and develop athletic skills and social values like teamwork, respect and sportsmanship. ",Exercise,Outdoors,June 28-Aug. 20,8 a.m.-3 p.m.,"Tukwila Community Center, 12424 42nd Ave. S., Tukwila",Prices vary,,https://www.skyhawks.com/search/?provider=1621:all&directory=True&zip_code=98168&provider_only_deals=1,DONE NO ?s
Seattle Tempest/Cascades Ultimate Camp — Tukwila Parks and Recreation,Ultimate is a noncontact sport played with a flying disk. This weeklong camp is tailored for ages 8-13 and all experience levels are encouraged to attend. Learn from coaches from the Seattle Tempest and Seattle Cascades.,Exercise,Outdoors,July 26-30,1 p.m.-4 p.m.,"Tukwila Community Center, 12424 42nd Ave. S., Tukwila",$120/participant,,https://tukwilaparks.perfectmind.com/23426/Clients/BookMe4LandingPages/CoursesLandingPage?widgetId=15f6af07-39c5-473e-b053-96653f77a406&courseId=7c7b7502-be31-42a8-a872-f432a4c3f8cd&searchText=%22ultimate%22&searchLocations=4aa4e6f7-8ae6-4624-bca2-c932c88296d4,DONE NO ?s
Virtual Seattle Bon Odori 2021,"A Japanese-Buddhist festival that honors friends and family who have passed away. The 89th Seattle Bon Odori will be virtual. Via YouTube, visitors will see traditional Japanese dancing, food and drink recipes, community messages and entertainment provided by Two Story Zori, a local Hawaiian island reggae band. In addition, there will be food, packaged cocktail ingredients and merchandise for drive-thru pickup on Saturday, July 17. ",Festivals and Parades,Virtual,July 17,5 p.m.,seattlebetsuin.com/vsbo21-home,Free to watch,,https://seattlebetsuin.com/,DONE NO ?s
North Cascade Street Rod Association Car Show,"Car show hosted by the North Cascade Street Rod Association with awards, a raffle and more. Masks and social distancing required. ",Other,Outdoors,June 20,8 a.m.-3 p.m.,"La Conner Middle School Soccer Field, 305 N. Sixth St., La Conner",$15,360-296-6414,,DONE NO ?s
From Hiroshima to Hope,"Candlelit lanterns will once again float across Green Lake at From Hiroshima to Hope, Seattle’s annual peace event honoring the victims of the atomic bombings of Hiroshima and Nagasaki and all victims of war and violence. This August marks the 76th anniversary of the atomic bombings. The event concludes with a lantern floating ceremony. The family program includes speaker Seattle Times columnist Naomi Ishisaka, emcee and poet, Larry Matsuda, and the popular Japanese American drum performance group, Seattle Kokon Taiko.",Festivals and Parades,Outdoors,Aug. 6,7 p.m. ,"Green Lake’s northwest shore, 7201 Green Lake Trail, Seattle",Free,206-354-2170,http://fromhiroshimatohope.org/,DONE NO ?s
